09-25 13:23:20.751 I/Sentry  ( 6695): ALERT[live] 13:23:20 INFO SYSTEM/OTHER sound=- banner=NONE: Sentry armed
09-25 13:23:20.752 I/Sentry  ( 6695): ALERT[live] 13:23:20 INFO SELECTION/OTHER sound=silent (another sound this tick) banner=POPUP: Watching DEMO-7, this controller's aircraft.
09-25 13:23:20.757 I/Sentry  ( 6695): ALERT[live] 13:23:20 ADVISORY TRAFFIC/ESCALATION sound=advisory/short banner=POPUP: △ ADVISORY · DEMO22 Cessna · SW 2.5 mi · 0 kt · ≈700 above, level · Not closing S=7.73
09-25 13:23:20.783 I/Sentry  ( 6695): SOUND advisory/short level_default
09-25 13:23:22.781 I/Sentry  ( 6695): DISARMED
09-25 13:23:22.787 I/Sentry  ( 6695): FLIGHT SUMMARY armed 2 min 24 s · CPU avg 1.1 % (4.2 % of one core) · peak 4.4 % (17 % of one core) · PSS peak 129 MB · battery used — (charging) · data 220 KB (down 83 KB · up 136 KB) · wake lock 2 min 24 s
09-25 13:23:26.799 I/Sentry  ( 6695): Service destroyed (mode=OFF)
09-25 13:23:32.868 I/Sentry  ( 6695): Service created
09-25 13:23:32.998 I/Sentry  ( 6695): REPLAY start: Demo encounter: DEMO-1 vs N388KM (SYNTHETIC crossing variant) at 1.0x
09-25 13:23:33.005 I/Sentry  ( 6695): ALERT[replay] 11:51:50 PDT INFO SELECTION/OTHER sound=bound/full banner=POPUP: Watching DEMO-1 Pilot, this controller's aircraft.
09-25 13:23:33.012 I/Sentry  ( 6695): Controller GPS listening
09-25 13:23:33.044 I/Sentry  ( 6695): SOUND bound/full level_default
09-25 13:23:57.018 I/Sentry  ( 6695): ALERT[replay] 11:52:14 PDT TRACK ALERT TRAFFIC/ESCALATION sound=track/full banner=POPUP: ▲ TRACK · N388KM Cirrus · SW 3.9 mi · 163 kt · 700 below, climbing · Passing within 1.0 mi in 1 min 19 s · Clear: move NW ↑ S=11.84
09-25 13:23:57.043 I/Sentry  ( 6695): SOUND track/full level_default · alert latency 0.1 s (TRACK ALERT a479ef)
09-25 13:24:27.036 I/Sentry  ( 6695): ALERT[replay] 11:52:44 PDT TRACK ALERT TRAFFIC/UPDATE sound=- banner=SILENT: ▲ TRACK · N388KM Cirrus · SW 2.5 mi · 160 kt · 500 below, climbing · Passing within 0.9 mi in 50 s · Clear: move NW ↑ S=7.71
09-25 13:24:40.049 I/Sentry  ( 6695): ALERT[replay] 11:52:57 PDT COLLISION RISK TRAFFIC/ESCALATION sound=collision/full banner=POPUP: ‼ COLLISION RISK · N388KM · SW 1.9 mi · 155 kt · 400 below, climbing · 400 below, climbing through your altitude · 43 s · Clear: move NW ↑ S=5.92
09-25 13:24:40.079 I/Sentry  ( 6695): SOUND collision/full level_default · alert latency 0.5 s (COLLISION RISK a479ef)
09-25 13:24:43.051 I/Sentry  ( 6695): ALERT[replay] 11:53:00 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.8 mi · 155 kt · 400 below, climbing · Closest 2,600 ft in 37 s, 100 below · Clear: move NW ↑ S=5.54
09-25 13:24:43.071 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:24:46.052 I/Sentry  ( 6695): ALERT[replay] 11:53:03 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.6 mi · 156 kt · 300 below, climbing · Closest 1,700 ft in 29 s, 100 below · Clear: move NW ↑ S=4.94
09-25 13:24:46.093 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:24:49.053 I/Sentry  ( 6695): ALERT[replay] 11:53:06 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.5 mi · 157 kt · 300 below, climbing · 300 below, climbing through your altitude · 34 s · Clear: move SE ↑ S=4.61
09-25 13:24:49.068 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:24:52.054 I/Sentry  ( 6695): ALERT[replay] 11:53:09 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.4 mi · 157 kt · 300 below, climbing · 300 below, climbing through your altitude · 31 s · Clear: move NW ↑ S=4.24
09-25 13:24:52.076 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:24:55.057 I/Sentry  ( 6695): ALERT[replay] 11:53:12 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.3 mi · 157 kt · 300 below, climbing · 300 below, climbing through your altitude · 31 s · Clear: move NW ↑ S=3.92
09-25 13:24:55.071 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:24:58.059 I/Sentry  ( 6695): ALERT[replay] 11:53:15 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.1 mi · 158 kt · 200 below, climbing · 200 below, climbing through your altitude · 26 s · Clear: move NW ↑ S=3.28
09-25 13:24:58.075 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:01.062 I/Sentry  ( 6695): ALERT[replay] 11:53:18 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 5,800 ft · 159 kt · 200 below, climbing · 200 below, climbing through your altitude · 22 s · Clear: move NW ↑ S=2.94
09-25 13:25:01.078 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:04.063 I/Sentry  ( 6695): ALERT[replay] 11:53:21 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 5,100 ft · 160 kt · 200 below, climbing · 200 below, climbing through your altitude · 19 s · Clear: move NW ↑ S=2.58
09-25 13:25:04.079 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:06.065 I/Sentry  ( 6695): ALERT[replay] 11:53:23 PDT COLLISION RISK TFR_ENTRY/OTHER sound=- banner=NONE: Traffic entering TFR 0/0000: SW 4,700 ft · 160 kt · 200 below, climbing S=2.35
